mal_id,title,title_english,title_japanese,title_synonyms,year,season,season_label,score,scored_by,rank,popularity,members,favorites,episodes,type,status,airing,approved,duration,rating,source,broadcast,aired_from,aired_to,trailer_url,is_hentai,is_japanese,studios,studios_count,producers,producers_count,licensors,licensors_count,genres,genres_count,themes,themes_count,demographics,demographics_count,synopsis_short,background_short,url
356,Fate/stay night,Fate/stay night,Fate/stay night,Fate - Stay Night,2006,winter,Winter 2006,7.27,549467,3249,190,1008579,7710,24,TV,Finished Airing,False,True,24 min per ep,R - 17+ (violence & profanity),Visual novel,Saturdays at 01:30 (JST),2006-01-07T00:00:00+00:00,2006-06-17T00:00:00+00:00,https://www.youtube-nocookie.com/embed/gy1MP1j_oXM?enablejsapi=1&wmode=opaque&autoplay=1,False,True,Studio Deen,1,Frontier Works|TBS|KlockWorx|Notes|Geneon Entertainment,5,Sentai Filmworks|Geneon Entertainment USA,2,Action|Fantasy|Romance,3,Urban Fantasy,1,,0,"After a mysterious inferno kills his family, Shirou is saved and adopted by Kiritsugu Emiya, who teaches him the ways of magic and justice.  One night, years after Kiritsugu's death, Shirou is cleanin...","Fate/stay night is based on the first route of Type-Moon's visual novel of the same title, with elements from the second and third route combined in. Originally released in 2004 for Microsoft Windows,...",https://myanimelist.net/anime/356/Fate_stay_night
790,Ergo Proxy,Ergo Proxy,エルゴプラクシー,,2006,winter,Winter 2006,7.9,259572,916,328,721362,14958,23,TV,Finished Airing,False,True,25 min per ep,R - 17+ (violence & profanity),Original,Saturdays at 19:00 (JST),2006-02-25T00:00:00+00:00,2006-08-12T00:00:00+00:00,,False,True,Manglobe,1,WOWOW|Rondo Robe|Geneon Entertainment USA|Geneon Entertainment,4,Funimation,1,Mystery|Sci-Fi|Suspense,3,Adult Cast|Psychological,2,,0,"Within the domed city of Romdo lies one of the last human civilizations on Earth. Thousands of years ago, a global ecological catastrophe doomed the planet; now, life outside these domes is virtually ...",,https://myanimelist.net/anime/790/Ergo_Proxy
710,Rec,,レック,Rec,2006,winter,Winter 2006,7.27,59553,3282,2154,118199,326,9,TV,Finished Airing,False,True,13 min per ep,PG-13 - Teens 13 or older,Manga,Fridays at 01:55 (JST),2006-02-03T00:00:00+00:00,2006-03-31T00:00:00+00:00,,False,True,Shaft,1,Frontier Works|Pony Canyon|TBS|Movic|Shogakukan,5,,0,Comedy|Romance,2,Adult Cast|Showbiz,2,Seinen,1,"After being stood up for a movie date, marketing employee Fumihiko Matsumaru is about to throw away his tickets when he is stopped by a girl who implores him to let her accompany him instead. Thanks t...","The episodes of Rec are titled after movies featuring Audrey Hepburn, Onda's dream idol. The opening sequence also contains many glamour shots with Onda dunning Hepburn's famous costumes in various mo...",https://myanimelist.net/anime/710/Rec
587,Hanbun no Tsuki ga Noboru Sora,Looking Up At The Half-Moon,半分の月がのぼる空,Hantsuki,2006,winter,Winter 2006,7.45,50168,2365,2329,105496,498,6,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Fridays at 00:30 (JST),2006-01-13T00:00:00+00:00,2006-02-24T00:00:00+00:00,,False,True,Group TAC,1,Pony Canyon|Dream Force,2,Nozomi Entertainment|Crimson Star Media,2,Drama|Romance,2,,0,,0,"After contracting hepatitis A, Ezaki Yuuichi has been confined to a hospital, away from his friends and family, much to his displeasure. To relieve his boredom, he has taken to sneaking out of the hos...",,https://myanimelist.net/anime/587/Hanbun_no_Tsuki_ga_Noboru_Sora
586,Ayakashi: Japanese Classic Horror,Ayakashi: Samurai Horror Tales,怪～ayakashi～ Japanese Classic Horror,,2006,winter,Winter 2006,7.37,28390,2716,2648,86469,316,11,TV,Finished Airing,False,True,23 min per ep,R - 17+ (violence & profanity),Other,Fridays at 00:35 (JST),2006-01-13T00:00:00+00:00,2006-03-24T00:00:00+00:00,,False,True,Toei Animation,1,Dentsu|SKY Perfect Well Think|Fuji TV|Asmik Ace|Sony Music Entertainment,5,Discotek Media|Geneon Entertainment USA,2,Horror|Mystery|Supernatural|Suspense,4,Adult Cast|Historical|Mythology|Psychological,4,,0,"A collection of three classic Japanese horror stories: ""Yotsuya Kaidan"", the story of a wife betrayed by her husband who seeks vengeance even in death. ""Tenshu Monogatari"", the story of forbidden love...",Ayakashi: Japanese Classic Horror aired on Fuji Television's noitaminA block.,https://myanimelist.net/anime/586/Ayakashi__Japanese_Classic_Horror
558,Major S2,,メジャー (第2シリーズ),,2006,winter,Winter 2006,8.18,47904,478,2842,76831,313,26,TV,Finished Airing,False,True,25 min per ep,PG-13 - Teens 13 or older,Manga,Saturdays at 18:00 (JST),2005-12-10T00:00:00+00:00,2006-06-10T00:00:00+00:00,,False,True,Studio Hibari,1,NHK|NHK Enterprises|Shogakukan Productions,3,,0,Sports,1,Team Sports,1,Shounen,1,"Gorou Honda has finally returned to Mifune East Junior High School, surprising his friends upon arrival. Now, Gorou is once again surrounded by those he holds closest, and he strives to continue playi...",,https://myanimelist.net/anime/558/Major_S2
667,Kashimashi: Girl Meets Girl,Girl Meets Girl,かしまし〜ガール・ミーツ・ガール〜,Kasimasi: Girl Meets Girl,2006,winter,Winter 2006,6.63,24742,7019,3452,54771,190,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Thursdays at 01:30 (JST),2006-01-12T00:00:00+00:00,2006-03-30T00:00:00+00:00,,False,True,Studio Hibari,1,Bandai Visual|Lantis,2,Media Blasters|Discotek Media,2,Comedy|Drama|Girls Love,3,Love Polygon|Magical Sex Shift|School,3,,0,"Hazumu was a shy boy who enjoyed gardening, collecting herbs, and long walks in the mountains. One day he finally worked up the courage to confess his love to Yasuna, but she rejected him.   Depressed...",,https://myanimelist.net/anime/667/Kashimashi__Girl_Meets_Girl
886,Amaenaide yo!! Katsu!!,Ah My Buddha Katsu,あまえないでよっ!! 喝!!,Amaenaideyo!! 2|Amaenaideyo!! Katsu,2006,winter,Winter 2006,6.63,27511,6986,3462,54434,43,12,TV,Finished Airing,False,True,24 min per ep,R+ - Mild Nudity,Manga,Wednesdays at 11:00 (JST),2006-01-04T00:00:00+00:00,2006-03-22T00:00:00+00:00,,False,True,Studio Deen,1,,0,Nozomi Entertainment|Media Blasters,2,Comedy|Romance|Supernatural|Ecchi,4,Harem,1,Seinen,1,"In this sequel, a girl named Kazusano Kazuki joins up with the 6 girls and Ikko. With Kazuki around, Ikko will find himself in more embarrassing situations with these priestesses-in-training.  (Source...",,https://myanimelist.net/anime/886/Amaenaide_yo_Katsu
576,Magikano,,マジカノ,,2006,winter,Winter 2006,6.31,16649,9053,4259,37250,45,13,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Manga,Unknown,2006-01-01T00:00:00+00:00,2006-04-01T00:00:00+00:00,,False,True,Tokyo Kids,1,Lantis|DAX Production,2,ADV Films|Funimation,2,Comedy|Fantasy|Romance,3,Harem,1,Shounen,1,Ayumi Mamiya is a witch cursed to lose her powers and only one boy can break the spell. Haruo Yoshikawa thinks he is a normal boy but unknown to him his three sisters have magical powers and keep him ...,,https://myanimelist.net/anime/576/Magikano
590,Kage kara Mamoru!,Guardian Ninja Mamoru,陰からマモル！,Protect from the Shadows!,2006,winter,Winter 2006,6.6,12341,7201,4817,28328,28,12,TV,Finished Airing,False,True,24 min per ep,PG-13 - Teens 13 or older,Light novel,Sundays at 02:50 (JST),2006-01-08T00:00:00+00:00,2006-03-26T00:00:00+00:00,,False,True,Group TAC,1,Aniplex|Studio Tulip|Tohokushinsha Film Corporation,3,Sentai Filmworks,1,Comedy|Romance,2,,0,,0,"Kagemori Mamoru is a dowdy boy whose hair is disheveled and who wears thick glasses, but he is actually the son of a ninja family. They have protected their neighbors, the Konnyaku family, secretly fo...",,https://myanimelist.net/anime/590/Kage_kara_Mamoru
